timestamp,route_id,route_name,corridor,travel_time_with_traffic_sec,free_flow_time_sec,congestion_index,temperature_c,precipitation_mm,weather_code,is_synthetic
2026-02-01 00:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1020.0,987.0,1.034,25.2,0.0,1,True
2026-02-01 01:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1087.0,987.0,1.102,23.7,0.0,1,True
2026-02-01 02:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1017.0,987.0,1.031,23.4,0.0,1,True
2026-02-01 03:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1102.0,987.0,1.117,23.4,0.0,1,True
2026-02-01 04:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1141.0,987.0,1.156,27.9,0.0,1,True
2026-02-01 05:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1084.0,987.0,1.099,25.9,0.0,1,True
2026-02-01 06:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,987.0,987.0,1.0,22.8,0.0,1,True
2026-02-01 07:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,989.0,987.0,1.002,25.4,0.0,1,True
2026-02-01 08:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,987.0,987.0,1.0,24.6,0.0,1,True
2026-02-01 09:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1040.0,987.0,1.054,19.2,0.0,1,True
2026-02-01 10:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1106.0,987.0,1.121,21.5,0.0,1,True
2026-02-01 11:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1075.0,987.0,1.089,24.8,0.0,1,True
2026-02-01 12:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1032.0,987.0,1.046,27.7,0.0,1,True
2026-02-01 13:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1147.0,987.0,1.163,23.4,0.0,1,True
2026-02-01 14:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,987.0,987.0,1.0,22.6,0.0,1,True
2026-02-01 15:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1083.0,987.0,1.097,24.3,0.0,1,True
2026-02-01 16:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1231.0,987.0,1.248,22.5,0.0,1,True
2026-02-01 17:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1223.0,987.0,1.239,23.3,0.0,1,True
2026-02-01 18:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1131.0,987.0,1.146,24.0,0.0,1,True
2026-02-01 19:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1126.0,987.0,1.141,21.4,0.0,1,True
2026-02-01 20:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1188.0,987.0,1.204,26.1,0.0,1,True
2026-02-01 21:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1022.0,987.0,1.036,20.9,0.0,1,True
2026-02-01 22:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1041.0,987.0,1.055,20.7,0.0,1,True
2026-02-01 23:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1043.0,987.0,1.058,24.5,0.0,1,True
2026-02-02 00:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1093.0,987.0,1.108,25.8,0.0,1,True
2026-02-02 01:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1082.0,987.0,1.096,24.4,0.0,1,True
2026-02-02 02:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1083.0,987.0,1.097,23.7,0.0,1,True
2026-02-02 03:00:00,1,Shahrah-e-Faisal,Shahrah-e-Faisal,1069.0,987.0,1.084,23.2,0.0,1,True
